record_id,origin,category,year,range_start,range_end,record_type,confidence,title_en,title_tr,region_en,region_tr,role_en,role_tr,shows_en,shows_tr,does_not_show_en,does_not_show_tr,source_en,source_tr,source_url,source_type
ottoman-script,chain-map,loss,1928,1928,1929,direct,high,Ottoman Turkish and the 1928 Alphabet Reform,Osmanlı Türkçesi ve 1928 Harf İnkılâbı,"Republic of Turkey — Ankara, Official Gazette","Türkiye Cumhuriyeti — Ankara, Resmî Gazete",Primary record of a decoder replaced by statute with dated deadlines,Bir kod çözücünün kanunla ve tarihli son günlerle değiştirilmesinin birincil kaydı,"Law no. 1353 and the deadline of 1 January 1929 prove, in a dated official document, that a national-scale reading standard can be replaced within three months.","1353 sayılı kanun ve 1 Ocak 1929 son tarihi, ulusal ölçekli bir okuma standardının üç ay içinde değiştirilebildiğini tarihli ve resmî bir belgeyle kanıtlar.","The document does not show that the reform destroyed knowledge — the archives survive, catalogued, open and professionally staffed — nor does it show that the reform was avoidable or unavoidable; what it shows is that a decoder can be replaced far faster than an archive can be migrated.","Bu belge harf inkılâbının bilgiyi yok ettiğini göstermez — arşivler yerinde, tasnifli ve uzman kadroyla açıktır — inkılâbın kaçınılmaz ya da kaçınılabilir olduğunu da göstermez; gösterdiği tek şey, bir kod çözücünün bir arşivin göçürülebileceğinden çok daha hızlı değiştirilebildiğidir.","Legislation Information System of the Presidency of Türkiye, Law no. 1353","T.C. Cumhurbaşkanlığı Mevzuat Bilgi Sistemi, Kanun no. 1353",https://www.mevzuat.gov.tr/MevzuatMetin/1.3.1353.pdf,web
ottoman-vakif,chain-map,threshold,1557,1557,1702,direct,high,The Waqf System and the Süleymaniye Endowment Deed,Vakıf Sistemi ve Süleymaniye Vakfiyesi,Istanbul — the Süleymaniye complex,İstanbul — Süleymaniye Külliyesi,A written maintenance specification and the record of its enforcement 145 years later,Yazılı bakım şartnamesi ve onun yüz kırk beş yıl sonraki uygulama kaydı,"Read together, the deed of 6 May 1557 and the duty roll of 1113/1702 show that a written maintenance specification actually sustained posts and wages for a century and a half.","6 Mayıs 1557 tarihli vakfiye ile 1113/1702 tarihli vazife yoklama defterinin birlikte okunması, yazılı bir bakım şartnamesinin kadroları ve ücretleri bir buçuk asır boyunca fiilen ayakta tutabildiğini gösterir.","The two documents do not show that the waqf system succeeded as a whole — Süleymaniye was among the empire’s richest and most visible endowments, so it is not representative of small or provincial waqfs — nor do they by themselves measure how much the akçe-denominated wages lost to debasement.","Bu iki belge vakıf sisteminin bir bütün olarak başarılı olduğunu göstermez — Süleymaniye imparatorluğun en zengin ve en görünür vakıflarından biridir, dolayısıyla küçük ve taşra vakıflarının kaderi hakkında temsilî değildir — ayrıca ücretlerin akçe cinsinden sabitliğinin tağşiş karşısında ne kadar değer yitirdiğini de tek başına ölçmez.",Marmara University Journal of Economics and Administrative Sciences (2022),Marmara Üniversitesi İktisadi ve İdari Bilimler Dergisi (2022),https://ikf.marmara.edu.tr/dosya/ikf/iib-dergi/2022-2/VAZ%C4%B0FE%20YOKLAMA%20DEFTER%C4%B0NE%20G%C3%96RE%20S%C3%9CLEYMAN%C4%B0YE%20VAKFI%20%C3%87ALI%C5%9EANLARI.pdf,university
ottoman-print,chain-map,threshold,1729,1727,1742,direct,high,"The Müteferrika Press, 1729","İbrahim Müteferrika Matbaası, 1729",Istanbul — the Dârü’t-tıbâati’l-âmire,İstanbul — Dârü’t-tıbâati’l-âmire,"Dated, physical, countable output proving the threshold was crossed","Eşiğin aşıldığını kanıtlayan tarihli, fiziksel ve sayılabilir çıktı","The Vankulu dictionary of 1729 and the sixteen works that followed prove directly that Arabic-script Turkish printing was technically and legally possible, and that the problem was not the absence of the technology.","1729’da basılan Vankulu Lügati ve onu izleyen on altı eser, Arap harfli Türkçe baskının teknik ve hukukî olarak mümkün olduğunu, sorunun teknolojinin yokluğu olmadığını doğrudan kanıtlar.","The output does not explain why the press was not founded before 1729, and it proves neither the claim that a ban existed nor the claim that calligraphers blocked it; it shows only that once permitted the work ran, and that it was not sustained.","Bu çıktı, matbaanın neden 1729’dan önce kurulmadığını açıklamaz ve “yasak vardı” ya da “hattatlar engelledi” iddialarından hiçbirini kanıtlamaz; yalnızca izin verildiğinde işin yürüdüğünü ve sürdürülemediğini gösterir.","TDV Encyclopaedia of Islam, “Müteferrika Matbaası”","TDV İslâm Ansiklopedisi, “Müteferrika Matbaası”",https://islamansiklopedisi.org.tr/muteferrika-matbaasi,web
roman-law,chain-map,threshold,533,533,600,direct,high,Roman Law and the Corpus Juris Civilis,Roma hukuku ve Corpus Iuris Civilis,"Written in Constantinople, preserved in Florence","Konstantinopolis’te yazıldı, Floransa’da korunuyor",The one near-complete late-antique manuscript witness to Justinian’s Digest: a 907-leaf parchment codex,"Iustinianus Digesta’sının geç antik dönemden gelen, tam sayılabilecek tek yazma tanığı: 907 yapraklık parşömen kodeks",It shows that the textual transmission of a thousand-year legal tradition could be reduced to the survival of one physical object.,"Bin yıllık bir hukuk geleneğinin metinsel aktarımının, tek bir fiziksel nesnenin sağ kalmasına indirgenebildiğini gösterir.","Its sixth- or early-seventh-century date and Constantinopolitan origin are palaeographic inferences rather than documented facts, and the Amalfi episode remains unverified.","Yazmanın altıncı ya da erken yedinci yüzyıla tarihlenmesi ve Konstantinopolis’te üretildiği paleografik çıkarımdır, belgeye dayanmaz; Amalfi anlatısı ise doğrulanamamıştır.","Max Planck Encyclopedia of European Private Law, with Laurenziana and History of Information records",Max Planck Avrupa Özel Hukuku Ansiklopedisi ile Laurenziana ve History of Information kayıtları,https://www.historyofinformation.com/detail.php?id=165,web
aqueducts,chain-map,loss,98,97,98,direct,high,The Aqueducts and Frontinus’s Maintenance Manual,Su kemerleri ve Frontinus’un bakım kılavuzu,The city of Rome and its nine aqueduct lines,Roma kenti ve çevresindeki dokuz su kemeri hattı,"The most detailed administrative document we have on the running of a Roman public utility, giving staffing, measurement and abuse in numbers","Roma’da bir kamu hizmetinin işletmesine dair elimizdeki en ayrıntılı idarî belge; kadroyu, ölçüyü ve suistimali sayılarla verir",It shows directly that the Romans conceived maintenance not as a virtue but as a countable regime of staffing and measurement.,"Romalıların bakımı bir erdem olarak değil, sayılabilir bir kadro ve ölçü rejimi olarak kavradığını doğrudan gösterir.","The text descends from a single medieval copy whose figures are corrupt in places, and Frontinus is a partisan witness defending his own administration.","Metin tek bir ortaçağ nüshasından gelir ve sayıları yer yer bozuktur; ayrıca Frontinus kendi yönetimini savunan taraflı bir tanıktır.","Frontinus, De aquaeductu; R. H. Rodgers’s Cambridge edition and the LacusCurtius manuscript file","Frontinus, De aquaeductu; R. H. Rodgers’ın Cambridge edisyonu ve LacusCurtius yazma dosyası",https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Frontinus/manuscripts*.html,university
latin-alphabet,chain-map,threshold,-560,-570,-550,direct,medium,The Latin Alphabet,Latin alfabesi,"The Roman Forum, the Lapis Niger precinct; found in situ by Giacomo Boni in 1899","Roma Forumu, Lapis Niger alanı; 1899’da Giacomo Boni tarafından yerinde bulundu",One of the oldest securely contextualised in-situ witnesses to early use of the Latin alphabet: a cippus inscribed boustrophedon,"Latin alfabesinin erken kullanımının yerinde bulunmuş, sağlam bağlamlı en eski tanıklarından biri: boustrophedon yazılmış bir cippus","It shows that the alphabet had reached Rome by the middle of the sixth century BCE, while even the direction of writing was not yet fixed.","Alfabenin Roma’ya, henüz yazı yönü bile sabitlenmemişken, MÖ altıncı yüzyılın ortasında ulaşmış olduğunu gösterir.","The inscription is broken and its reading is disputed, and its date rests on stratigraphy and letterforms rather than on any document.","Yazıt kırıktır ve okunuşu tartışmalıdır; tarihi belgeye değil tabakalanmaya ve harf biçimlerine dayanır.","Archaeological and epigraphic literature on the Lapis Niger inscription, with the Praeneste fibula debate for comparison","Lapis Niger yazıtı üzerine arkeolojik ve epigrafik literatür; karşılaştırma için Praeneste fibulası tartışması",https://en.wikipedia.org/wiki/Lapis_Niger,encyclopedia
glassblowing,chain-map,threshold,-50,-60,-40,direct,high,Glassblowing,Cam üfleme,"Jerusalem, Jewish Quarter (Roman province of Judaea)","Kudüs, Yahudi Mahallesi (Roma İudaea eyaleti)",The earliest closely datable material trace of the technique.,Tekniğin bugün yakın biçimde tarihlenebilen en erken maddi izi.,Refuse thrown out by a workshop proves directly that between 50 and 40 BCE someone was inflating the ends of glass tubes by blowing.,"Bir atölyenin attığı moloz, MÖ 50–40 arasında birinin cam boruların ucunu üfleyerek şişirdiğini doğrudan kanıtlar.","The find shows where the technique was early in use, not where it was invented; and Pliny’s story of glass being discovered on a beach under blocks of natron concerns glass itself rather than blowing, so it cannot serve as evidence for the invention.","Buluntu tekniğin nerede icat edildiğini değil nerede erkenden uygulandığını gösterir; Plinius’un sahilde soda külçeleriyle camın bulunuşunu anlatan hikâyesi ise camın kendisiyle ilgilidir, üflemeyle değil, ve icat kanıtı olarak kullanılamaz.","Corning Museum of Glass, “The Earliest Inflated Glass”","Corning Cam Müzesi, “The Earliest Inflated Glass”",https://renvenetian.cmog.org/chapter/earliest-inflated-glass,web
codex,chain-map,threshold,300,200,400,proxy,high,The codex,Kodeks,Oxyrhynchus and Egypt generally (Roman province of Aegyptus),Oksirinkhos ve genel olarak Mısır (Roma Aegyptus eyaleti),The only quantitative source that measures the speed and direction of the format migration.,Biçim göçünün hızını ve yönünü ölçen tek nicel kaynak.,"Among datable literary papyri the codex share rises from 1.43% in the 1st–2nd centuries to 18.5% in the 3rd and 62.34% in the 4th; the transition completes across the 3rd and 4th centuries.","Tarihlenebilen edebî papirüslerde kodeksin payı 1.–2. yüzyılda %1,43 iken 3. yüzyılda %18,5’e ve 4. yüzyılda %62,34’e çıkar; geçiş 3. ve 4. yüzyıllar boyunca tamamlanır.","The sample is material preserved by Egypt’s dry climate and drawn largely from one provincial town’s rubbish; Roberts and Skeat themselves warn that these proportions cannot be projected onto the ancient world at large. The common claim that “the codex was a Christian invention” is also wrong: Martial advertises the format before Christian use — Christians did not invent it, they adopted and generalised it.","Örneklem Mısır’ın kuru ikliminin koruduğu ve büyük ölçüde tek bir taşra kasabasının çöplüğünden çıkan malzemedir; Roberts ile Skeat bu oranların antik dünyanın geneline yansıtılamayacağını kendileri uyarır. “Kodeks Hıristiyanların icadıdır” yollu yaygın iddia da yanlıştır: Martialis biçimi Hıristiyan kullanımından önce tanıtır, Hıristiyanlar onu icat etmedi, benimseyip yaygınlaştırdı.","E. A. Meyer, Chiron 37 (2007), reporting Roberts and Skeat’s figures","E. A. Meyer, Chiron 37 (2007), Roberts ve Skeat’in sayılarını aktararak",https://publications.dainst.org/journals/chiron/article/download/369/4977,web
hypocaust,chain-map,loss,1584,1580,1590,direct,high,The hypocaust,Hipokaust,"Istanbul, Çemberlitaş","İstanbul, Çemberlitaş",Living evidence that the underfloor heating principle continued independently of the break in the West.,"Alttan ısıtma ilkesinin, Batı’daki kesintiden bağımsız olarak sürdüğünün yaşayan kanıtı.","A bath built in 1584 is heated on the same principle as a Roman caldarium, through a cehennemlik beneath the floor and tüteklik flues in the walls, and remains in operation.","1584’te yapılan bir hamam, döşemenin altındaki cehennemlik ve duvarlardaki tüteklikler yoluyla bir Roma caldarium’uyla aynı ilkeye göre ısınır ve hâlâ çalışır durumdadır.","Continuity of the heating principle is not continuity of the building type; the Ottoman hamam’s plan, dome and cauldron water heating differ markedly from the Roman bath, and the architectural line runs not in one step from Rome to Istanbul but through late antique and Byzantine baths and Umayyad buildings.","Isıtma ilkesinin sürekliliği yapı tipinin sürekliliği demek değildir; Osmanlı hamamının planı, kubbesi ve kazanlı su ısıtma düzeni Roma hamamından belirgin biçimde farklıdır ve mimari hat Roma’dan İstanbul’a tek adımda değil, geç antik ve Bizans hamamları ile Emevî yapıları üzerinden geçer.","E. Kanetaki, METU Journal of the Faculty of Architecture (2004); Semavi Eyice, “Hamam”, TDV Encyclopaedia of Islam (1997)","E. Kanetaki, ODTÜ Mimarlık Fakültesi Dergisi (2004); Semavi Eyice, “Hamam”, TDV İslâm Ansiklopedisi (1997)",https://jfa.arch.metu.edu.tr/uploads/docs/sayilar/sayi-21-1-2/81-110.pdf,university
ubykh,chain-map,info,1992,1864,2011,direct,high,Ubykh and its last speaker,Ubıhça ve son konuşan,"Hacı Osman, Manyas — Balıkesir province; and Istanbul","Hacı Osman, Manyas — Balıkesir; ve İstanbul",The datable record of a decoder count reaching zero while documentation stood at its highest level.,"Belgeleme en yüksek düzeydeyken çözücü sayısının sıfıra indiği, tarihlenebilir kayıt.","Shows that a language can become unreproducible with a single death while its dictionary, grammar and recordings remain in our hands.","Sözlüğü, grameri ve ses kayıtları elde dururken bir dilin tek bir ölümle yeniden üretilemez hâle gelebileceğini gösterir.","A language's death is not a datable moment; 7 October 1992 is the date the last fluent speaker died, while withdrawal from daily use had begun generations earlier. Nor is “last speaker” a precise criterion: people with partial knowledge fall outside the definition.","Bir dilin ölümü tarihlenebilir bir an değildir; 7 Ekim 1992 son akıcı konuşanın ölüm tarihidir, gündelik kullanımdan çekilme kuşaklar önce başlamıştı. “Son konuşan” ölçütü de kesin değildir: kısmi bilgiye sahip kişiler tanımın dışında kalır.","Journal of Endangered Languages · Ö. S. Durhan, 2014","Tehlikedeki Diller Dergisi · Ö. S. Durhan, 2014",https://dergipark.org.tr/tr/download/article-file/305216,web
kilogram,chain-map,everyday,2019,1889,2019,direct,high,The kilogram and the 2019 redefinition,Kilogram ve 2019 yeniden tanımı,"Sèvres / Saint-Cloud, France; and global","Sèvres / Saint-Cloud, Fransa; ve küresel","The one dated, documented record of a transmission chain being deliberately re-engineered.","Bir aktarım zincirinin bilerek yeniden tasarlandığı, tarihlenmiş ve belgeli tek kayıt.",Shows that a chain's thinnest link can be diagnosed and replaced — and that the replacement relocates the fragility to a chosen place rather than eliminating it.,Bir zincirin en ince halkasının teşhis edilip değiştirilebileceğini — ve bu değişimin kırılganlığı yok etmek yerine seçilmiş bir yere taşıdığını gösterir.,"It does not show that this is generally possible: the method worked because mass could be tied to a constant of nature. Nor is the 50-microgram figure an absolute measurement; it is divergence among the prototypes, since the IPK was by definition exactly one kilogram.","Bunun genel olarak mümkün olduğunu göstermez: yöntem işe yaradı çünkü kütle bir doğa sabitine bağlanabiliyordu. Ayrıca 50 mikrogramlık rakam mutlak bir ölçüm değil, prototipler arasındaki ayrışmadır; IPK tanım gereği tam olarak bir kilogramdı.",BIPM · SI base units: the kilogram,BIPM · SI temel birimleri: kilogram,https://www.bipm.org/en/si-base-units/kilogram,official-or-standards
